Nº Nombre Clase		componente asignado
1.SystemConfiguration   A
2.Law			A
3.Warrantly		A
4.FixUpTask		A
5.Category		A
6.Application		A
7.Finder		P
8.Phase			P
9.Costumer		P
10.Endorsement		P
11.HandyWorker		P
12.Tutorial		P
13.Sponsor		J
14.Curriculum		J
15.Section		J
16.CreditCard		J
17.SponsorShip		J
18.PersonalRecord	J
19.EducationRecord	C
20.ProfessionalRecord	C
21.EndorserRecord	C
22.MiscellaneousRecord	C
23.Report		C
24.Complaint		C
25.MessageBox		L
26.Note			L
27.SocialProfile	L
28.Referee		L
29.Administrator	L
30.Money		L
31.Authority		L
32.UserAccount		F
33.Priority		F
34.Status		F
35.Actor		F
36.CountryCode		F
37.Message		F
